month,week,day,hour,DotW,WR
1,1,5,15,5,72
1,1,5,16,5,56
1,1,5,20,5,0
1,1,5,21,5,0
1,1,5,22,5,0
1,1,5,23,5,0
1,1,5,0,7,0
1,1,5,1,7,0
1,1,5,2,7,0
1,1,5,3,7,0
1,1,5,4,7,0
1,1,5,5,7,0
1,1,5,6,7,0
1,1,5,7,7,0
1,1,5,8,7,3
1,1,5,9,7,20
1,1,5,10,7,29
1,1,5,11,7,41
1,1,5,12,7,43
1,1,5,13,7,44
1,1,5,14,7,48
1,1,5,15,7,60
1,1,5,16,7,62
1,1,5,17,7,65
1,1,5,18,7,72
1,1,5,19,7,62
1,1,5,20,7,56
1,1,5,21,7,36
1,1,5,22,7,12
1,1,5,23,7,0
1,2,6,0,1,0
1,2,6,1,1,0
1,2,6,2,1,0
1,2,6,3,1,0
1,2,6,4,1,0
1,2,6,5,1,0
1,2,6,6,1,46
1,2,6,7,1,76
1,2,6,8,1,86
1,2,6,9,1,81
1,2,6,10,1,86
1,2,6,11,1,94
1,2,6,12,1,118
1,2,6,13,1,118
1,2,6,14,1,129
1,2,6,15,1,132
1,2,6,16,1,152
1,2,6,17,1,147
1,2,6,18,1,133
1,2,6,19,1,92
1,2,6,20,1,83
1,2,6,21,1,142
1,2,6,22,1,100
1,2,6,23,1,0
1,2,6,0,2,0
1,2,6,1,2,0
1,2,6,2,2,0
1,2,6,3,2,0
1,2,6,4,2,0
1,2,6,5,2,0
1,2,6,6,2,19
1,2,6,7,2,31
1,2,6,9,2,47
1,2,6,10,2,78
1,2,6,13,2,105
1,2,6,15,2,120
1,2,6,16,2,132
1,2,6,17,2,164
1,2,6,19,2,112
1,2,6,20,2,80
1,2,6,21,2,106
1,2,6,22,2,96
1,2,6,23,2,69
1,1,6,0,3,0
1,1,6,1,3,0
1,1,6,2,3,0
1,1,6,3,3,0
1,1,6,4,3,0
1,1,6,5,3,0
1,1,6,6,3,12
1,1,6,7,3,36
1,1,6,8,3,50
1,1,6,9,3,85
1,1,6,10,3,94
1,1,6,12,3,118
1,1,6,13,3,124
1,1,6,14,3,128
1,1,6,15,3,110
1,1,6,16,3,135
1,1,6,17,3,168
1,1,6,18,3,142
1,1,6,19,3,108
1,1,6,20,3,115
1,1,6,21,3,66
1,1,6,22,3,60
1,1,6,23,3,14
1,1,6,0,5,0
1,1,6,1,5,0
1,1,6,2,5,0
1,1,6,3,5,0
1,1,6,4,5,0
1,1,6,5,5,0
1,1,6,6,5,9
1,1,6,7,5,32
1,1,6,8,5,24
1,1,6,9,5,36
1,1,6,10,5,58
1,1,6,11,5,64
1,1,6,12,5,61
1,1,6,13,5,68
1,1,6,14,5,84
1,1,6,15,5,88
1,1,6,16,5,101
1,1,6,17,5,84
1,1,6,18,5,86
1,1,6,19,5,86
1,1,6,20,5,32
1,1,6,21,5,38
1,1,6,22,5,0
